config_id,window_id,alpha1_2d,alpha2_2d,xa_2d,xb_2d,delta_x_2d,total_strength_2d,k_center,window_width,wavelength,beta1_3d,beta2_3d,beta3_3d,x1_3d,x2_3d,x3_3d,total_strength_3d,spacing_12,spacing_23,total_extent_3d,mse_uniform
2.1,0,2,-2,0.0,1.8,1.8,4,1.7453292519943300,0.8726646259971650,3.6,1.961347714182820,3.244228988704290,0.8681223932746540,0.0,2.1189272661931500,2.4801510126516100,6.073699096161770,2.1189272661931500,0.3612237464584600,2.4801510126516100,1.24035356037172E-08
2.2,0,2,-2,0.0,2.65,2.65,4,1.1855066617320000,0.5927533308659990,5.3,1.998059299402990,3.324613043772160,0.8399344208651760,0.0,2.978438746410350,3.3636540619459700,6.1626067640403200,2.978438746410350,0.3852153155356190,3.3636540619459700,2.97920752888529E-10
2.2,1,2,-2,0.0,2.65,2.65,4,2.3710133234639900,0.5927533308659990,2.65,1.5125759467181800,0.5000000110368350,2.2897123719599600,0.0,1.1691780396018800,2.9459938382490600,4.30228832971498,1.1691780396018800,1.776815798647180,2.9459938382490600,4.93988918740653E-06
2.3,0,2,-2,0.0,3.65,3.65,4,0.8607103160519980,0.4303551580259990,7.3,1.867499727476330,1.1980746895181000,0.5000006551291370,0.0,4.319747451022130,6.519345860947280,3.565575072123560,4.319747451022130,2.1995984099251500,6.519345860947280,9.88321136296685E-06
2.3,1,2,-2,0.0,3.65,3.65,4,1.7214206321040000,0.4303551580259990,3.65,0.5000000150627390,1.3617934748902700,1.839176985887200,0.0,1.3614704151707900,5.519109126789360,3.700970475840210,1.3614704151707900,4.157638711618570,5.519109126789360,0.0001241687083183230
2.3,2,2,-2,0.0,3.65,3.65,4,2.5821309481559900,0.4241121049350020,2.433333333333330,2.0005307149425200,3.547143335659440,1.1766951644471700,0.0,3.9284008836119800,4.232928343876130,6.724369215049130,3.9284008836119800,0.3045274602641490,4.232928343876130,1.41515523276384E-09
2.4,0,2,-2,0.0,4.65,4.65,4,0.6756113233526440,0.33780566167632200,9.3,1.9989924231422900,3.9927819824005900,1.1794712506432000,0.0,4.950260479079480,5.286782239358140,7.1712456561860800,4.950260479079480,0.33652176027866300,5.286782239358140,3.25809925994429E-12
2.4,1,2,-2,0.0,4.65,4.65,4,1.3512226467052900,0.33780566167632200,4.65,1.052814058442990,3.6550051650458700,2.0014368807904200,0.0,0.3492799417359840,5.306323920580290,6.7092561042792900,0.3492799417359840,4.957043978844310,5.306323920580290,3.95025219682184E-11
2.4,2,2,-2,0.0,4.65,4.65,4,2.0268339700579300,0.33780566167632200,3.1000000000000000,3.0056594640267100,0.5000000389321930,1.9405131176369800,0.0,1.918382067066500,3.3943877255734100,5.44617262059588,1.918382067066500,1.4760056585069100,3.3943877255734100,0.0002854743003295280
2.4,3,2,-2,0.0,4.65,4.65,4,2.7024452934105700,0.3176801841328740,2.325,2.9855419379481900,0.5000000675177080,1.8446028136571200,0.0,1.5604137959724900,3.732908588781690,5.330144819123020,1.5604137959724900,2.172494792809200,3.732908588781690,0.00024253283786235700
